country,pearson_r_school_gdp,p_value,n
Germany,0.020562279211988718,0.9222834090252775,25
Norway,0.01708156322906962,0.9354094307339086,25
Grenada,0.0167969933828395,0.9364833337524496,25
Nepal,0.016724208540019825,0.9367580248767694,25
Malta,0.015327109960107603,0.9420320221737147,25
Libya,0.013976697265047421,0.9471320393075605,25
Tajikistan,0.009584863402225549,0.9637313685242419,25
"Venezuela, RB",0.0041309050460498365,0.9843647746311047,25
Portugal,0.002857820194438424,0.9891829868462001,25
Sweden,0.0021531070473749525,0.9918502657551612,25
Guatemala,9.936599738447202e-05,0.9996238832694132,25
Italy,-0.0003374086378596057,0.998722852978852,25
Maldives,-0.0009431829815459786,0.9964299074489138,25
Oman,-0.016708187217418465,0.9368184905407241,25
"Macao SAR, China",-0.017007412336288528,0.9356892491460661,25
Albania,-0.018213308701195103,0.9311395792140119,25
Burkina Faso,-0.0203147710798635,0.9232161671066949,25
"Iran, Islamic Rep.",-0.020677162814152203,0.9218504929916601,25
Mexico,-0.02162833118045824,0.9182670449639084,25
Iceland,-0.021663814256298847,0.9181333949565093,25
Hungary,-0.02228161913821552,0.9158067296293976,25
Botswana,-0.025147815315906603,0.9050216729465193,25
